# OldHash      NewHash      CAfile                   CAURL                                       Version   Accreditation   
#--------------------------------------------------------------------------------------------------------
1f0e8352     d0cd0b27     NorduGrid.pem            http://ca.nordugrid.org/                       1.64   I
f5ead794     18700496     PK-Grid-2007.pem         http://www.ncp.edu.pk/pk-grid-ca/              1.64   I
9dd23746     cd536adc     pkIRISGrid.pem           http://pki.irisgrid.es/                        1.64   I
8a661490     03b260e0     PolishGrid.pem           http://www.man.poznan.pl/plgrid-ca             1.64   I
4b2783ac     7f4db168     PSC-Myproxy-CA.pem       http://www.psc.edu/ca/                         1.64   I
e72045ce     d800b164     QuoVadis-Grid-ICA.pem    https://www.quovadisglobal.bm/                 1.64   I
5cf9d536     080911ac     QuoVadis-Root-CA1.pem    https://www.quovadisglobal.bm/                 1.64   I
55994d72     94b468c6     RDIG.pem                 http://ca.grid.kiae.ru/RDIG/                   1.64   I
295adc19     089450c2     REUNA-ca.pem             http://reuna-ca.reuna.cl/                      1.64   I
1f3834d0     18bc5b05     RomanianGRID.pem         http://www.romaniangrid.ro                     1.64   I
c48c63f3     25694cc4     SDG.pem                  http://ca.sdg.grid.cn/en/                      1.64   I
da213f5b     ad9d1b74     seegrid-ca-2013.pem      http://see-grid-ca.hellasgrid.gr               1.64   I
3d5be7bc     156a0f0f     SiGNET-CA.pem            http://signet-ca.ijs.si/                       1.64   I
e13e0fcf     e21dc0c0     SlovakGrid.pem           http://ups.savba.sk/ca                         1.64   I
ff94d436     0e635db3     SRCE.pem                 http://ra.srce.hr                              1.64   I
20ce830e     9d772be7     TERENA-eScience-SSL-CA.pem https://www.terena.org/activities/tcs/repository/       1.64   I
29a95392     b66e4b1f     TERENA-eScience-SSL-CA-2.pem https://www.terena.org/activities/tcs/repository/       1.64   I
1db3b27f     e523eeaa     TERENA-eScience-SSL-CA-3.pem https://www.terena.org/activities/tcs/         1.64   I
169d7f9c     82a0ca89     TERENAeSciencePersonalCA.pem https://www.terena.org/activities/tcs/         1.64   I
ac2d1719     873734ff     TERENAeSciencePersonalCA2.pem https://www.terena.org/activities/tcs/         1.64   I
e732ef10     dbf09133     TERENAeSciencePersonalCA3.pem https://www.terena.org/activities/tcs/         1.64   I
1691b9ba     87429ba3     TRGrid.pem               http://www.grid.org.tr/ca                      1.64   I
4b3f5558     6f071272     TSU-GE.pem               https://grid-ca.tsu.ge/                        1.64   I
0a12b607     b874affe     UGRID.pem                https://ca.ugrid.org/                          1.64   I
1b6f5ede     877af676     UKeScienceCA-2A.pem      http://www.grid-support.ac.uk/ca/              1.64   I
ffc3d59b     530f7122     UKeScienceCA-2B.pem      http://www.grid-support.ac.uk/ca/              1.64   I
98ef0ee5     7ed47087     UKeScienceRoot-2007.pem  http://www.grid-support.ac.uk/ca/              1.64   I
24c3ccde     d71343e8     UNAMgrid-ca.pem          http://ca.unamgrid.unam.mx/                    1.64   I
fc1898ec     6cad3d39     UniandesCA.pem           https://ra.uniandes.edu.co                     1.64   I
b7bcb7b2     522b8537     UNLPGrid.pem             https://www.pkigrid.unlp.edu.ar/               1.64   I
ff783690     b13cc6df     UTN-USERFirst-Hardware.pem http://www.comodo.com/                         1.64   I
35105088     fc5a8f99     UTN-USERTrust-RSA-CA.pem http://www.comodo.com/                         1.64   I
9ec3a561     c5e082db     UTNAAAClient.pem         https://www.terena.org/activities/tcs/         1.64   I
#--------------------------------------------------------------------------------------------------------
#
# OSGversion 1.46NEW
# IndexTypeVersion 1
